Venue ID,Venue Name,City
12938,Arose Foods Banquet,Ahmedabad
4089,Laxmi Vilas Palace Banquets & Conventions,Baroda
32082,People's World,Bhopal
11317,Fortune Garden And Resort,Bhopal
8724,Hotel Sun Park,Chandigarh
1994,New Ambience Banquets,Delhi
4409,Priyanka's Banquet Hall,Delhi
37210,Euphoria Mansion Banquet,Delhi
36039,Bikanervala,Delhi
5955,Lotus Center Banquet Hall,Delhi
3214,The Grand Vikalp,Delhi
4435,Prittam Deluxe,Delhi
4456,3G Celebration Banquet,Delhi
5102,Aashirwad Banquet Hall,Delhi
3876,Azalea,Delhi
4260,La Fortuna Banquets,Delhi
1678,Lagoona Emerald,Delhi
20213,Royal Castle Barbecue,Delhi
7567,Silver Grand Banquet,Delhi
21868,The Greetings Banquet,Delhi
1538,The Park Royal Banquets,Delhi
3689,Eden Garden Lawn,Faridabad
35605,Shree Balaji Hotel,Faridabad
4336,Mehak Party Lawn Site IV,Ghaziabad
2708,Lemon Tree Hotel,Ghaziabad
4814,The Great Callina Banquet,Ghaziabad
4337,The Royal Palace,Ghaziabad
13513,The Grand Palace,Ghaziabad
6793,Amaira Hotel And Banquets,Ghaziabad
1906,Fortune Select Global,Gurugram
5094,Prism Ballroom,Gurugram
1841,The Country Touch Resort,Gurugram
14820,Dream World Resort,Indore
4553,Jai Bagh Palace,Jaipur
24289,Blue Pluto,Jaipur
7694,Hari Van - A Royal Wedding Destination,Jaipur
4373,Hotel Grand Maple,Jaipur
7700,Raj Aangan Resort,Jaipur
23057,Eden Garden & Resorts,Jaipur
32804,5 by OYO - Metropolitan,Jaipur
11005,AltAir Boutique Hotel,Kolkata
5541,Hotel Hazarduari,Kolkata
3731,Airport City Hotel,Kolkata
3801,Club Verde Vista,Kolkata
5588,Regenta Orkos,Kolkata
8696,Fortune Park BBD,Lucknow
20690,Nakshatra Lawns,Lucknow
8410,Hotel Ratana International,Lucknow
35243,Hind Palace,Lucknow
28760,Mishra Marriage Lawn,Lucknow
8639,Babian Imperial Resort,Lucknow
31734,Acco Grand Hotel,Lucknow
8232,Prithvi Guest House,Lucknow
9874,Hotel Cosmos,Lucknow
11790,Triton Inn,Lucknow
11285,Hotel Vista Residency,Lucknow
17574,Amaraa Farm,Lucknow
10018,Brijwasi Lawn,Lucknow
20697,DCorbiz Hotel and Restaurant,Lucknow
23593,Veridian,Lucknow
4169,Mauli Grand Banquet,Mumbai
6686,Pacific Banquets,Mumbai
22913,Sanskruti Hall,Mumbai
4897,Durvankur Hall,Mumbai
81,Seasons Banquets,Mumbai
7990,Solitaire Banquets,Mumbai
3541,De Grandeur Hotel and Banquets,Mumbai
98,Gloria Banquet Hall,Mumbai
440,Golden Leaf Banquet,Mumbai
1825,Hotel Yogi Metropolitan,Mumbai
4571,Kohinoor ATC,Mumbai
573,Kohinoor Continental,Mumbai
5053,Ronak Banquets,Mumbai
272,Satkar Residency,Mumbai
233,The International by Tunga,Mumbai
5080,Tithee Banquets,Mumbai
282,Vihang's Inn,Mumbai
5068,Vows Banquet,Mumbai
441,Sanabil Banquets,Mumbai
600,Mumbai Metro - The Executive Hotel,Mumbai
3538,Goldfinch,Mumbai
6637,King's Banquet,Mumbai
5179,Paras Banquet,Mumbai
15566,Maharaja Banquet Hall,Mumbai
17414,Sai Heritage Banquets,Mumbai
21287,Vegas Residency,Mumbai
7301,Chitrakoot Ground,Mumbai
120,Lavender Bough,Mumbai
23780,Sanai Banquets,Mumbai
829,Golden Banquet,Mumbai
10333,Harisson Celebration Lawn,Nagpur
20822,Kawade Garden,Nashik
4645,Ayatti,Noida
21083,Vijayatej Clarks Inn,Patna
28716,Golden Flavour,Patna
24599,SVR Hotel and Banquet,Patna
35756,Golden Moments,Patna
21041,Amit Hotel,Patna
21353,Hotel Kamdhenu,Patna
30603,Omega Garden,Patna
23775,Shubham Vatika,Prayagraj
2905,Kyriad Hotel,Pune
7282,Neo Woods,Pune
2694,Hotel Novotel Pune,Pune
33768,The Grand Neelam Hotel,Raipur
20085,Greenland Resort,Surat
11587,Ashray The Restaurant and Banquet,Ahmedabad
12863,Binori Hotel,Ahmedabad
12631,Pinnacle Grand Hotel And Banquets,Ahmedabad
25152,Fairfield by Marriott,Ahmedabad
5330,Hotel Kells,Ahmedabad
10883,Honest Restaurant And Banquet,Ahmedabad
8649,Whistling Meadows Resort And Lawns,Ahmedabad
5858,The Grand Thakar,Ahmedabad
3449,The Metropole Hotel,Ahmedabad
13594,Social Territory,Ahmedabad
10155,Vanashree Restaurant And Party Plot,Ahmedabad
2211,Hotel The Sai Leela,Bangalore
29763,Augusta Club,Bangalore
3046,MLR Convention Centre,Bangalore
14201,The Northern Terrace,Bangalore
1159,White Feather,Bangalore
22087,Elite Banquets,Bangalore
28226,RBD Sarovar Portico,Bangalore
1576,Pai Vista Convention Hall,Bangalore
25287,Holiday Inn,Bangalore
35337,Radisson Blu Atria,Bangalore
32129,White Pearl ASR Convention Centre,Bangalore
14738,The Rasaganga,Bangalore
17556,Grand Seasons Hotel,Bangalore
1163,Radha Regent,Bangalore
2290,White Petals,Bangalore
1339,Radisson Blu,Bangalore
22863,Ebisu Convention Center,Bangalore
9097,Pearl Banquet,Bangalore
4090,P M Banquets,Baroda
9756,Rudraksha Lawn,Baroda
11329,Kabir Banquet And Convention Center,Baroda
33553,Shukan Banquet,Baroda
24714,Laxmi Film City,Baroda
9695,Grand Tulip Banquet And Lawn,Baroda
11654,Shagun Hotel,Baroda
23693,Lotus Farm,Baroda
27179,Vivaah Party Lawns And Banquet,Baroda
4103,Veronica Hotel,Baroda
10613,Regenta Inn,Baroda
12084,Gayatri Party Plot,Baroda
11414,Neelkamal Farm,Baroda
9667,Waves Club,Baroda
36001,La Pearl,Bhopal
10061,Vrindavan Garden,Bhopal
12148,Hotel Sun Park,Bhopal
10821,Hotel Silver Inn,Bhopal
12370,Hotel CSFC,Bhopal
14182,Hotel Shree Ji,Bhopal
15288,Hotel Gaurav Greens Garden,Bhopal
13876,Keeva Restaurant And Banquet,Bhubaneswar
26828,Hotel Bari International,Bhubaneswar
13766,Hotel Seetal,Bhubaneswar
31626,The Address,Bhubaneswar
32630,Pipul Banquet,Bhubaneswar
15042,Maa Bhabani Resorts,Bhubaneswar
13854,La Fiesta,Bhubaneswar
35633,Nilay Convention,Bhubaneswar
16333,Classic Continental,Bhubaneswar
17680,Hotel Richi Regency,Bhubaneswar
20861,Hotel Green Field,Bhubaneswar
16327,Lal Qila,Bhubaneswar
21962,Hotel Pabitra Royal Regency,Bhubaneswar
13743,Bhubaneswar Grand,Bhubaneswar
8505,Velvet Clarks Exotica,Chandigarh
22660,Sunshine Gardens,Chandigarh
11903,Country Inn and Suites By Radisson,Chandigarh
4155,Golden Tulip,Chandigarh
12179,Casba,Chandigarh
22888,Sandlas Farms,Chandigarh
37352,Opulence Resort,Chandigarh
12459,The Wedding Resort,Chandigarh
25204,Hotel Swan 2,Chandigarh
14759,Arista Palace,Chandigarh
4852,Clarion Inn Sevilla,Chandigarh
4733,Mystic ARCS Banquets,Chandigarh
11827,Radisson,Chandigarh
9045,4 By OYO,Chandigarh
24357,The Bentley Seaside Boutique Hotel,Chennai
24432,Ilara Hotels & Spa,Chennai
23352,Regenta Central RS,Chennai
24930,InterContinental Hotels And Resort,Chennai
21751,The Royal Palms,Chennai
23433,Radisson Blu Hotel,Chennai
15187,Kriyates Banquet Hall And Lawn,Chennai
17690,Park Elanza,Chennai
13944,Jaag Hotel,Chennai
13858,Kailash Garden,Chennai
25191,Kailash Resort,Chennai
9877,Hotel Pratap Plaza,Chennai
23755,R J Residency,Chennai
21037,Zone By The Park,Chennai
9952,Saaral Residency,Chennai
14116,The Checkers Hotel,Chennai
26822,Hotel Mahabir Galaxy,Cuttack
24325,R Square Celebration,Cuttack
24331,Monalisha Palace,Cuttack
26356,Nishamani Convention Hall,Cuttack
5818,The Muse Sarovar Portico,Delhi
1549,Calista Resort,Delhi
1644,Essex Farms,Delhi
6195,Dr. Karamvir Garden,Faridabad
21638,Celebration Garden,Faridabad
4609,Royal Orchid Beach Resort & Spa,Goa
2897,Beleza By The Beach,Goa
23611,DoubleTree By Hilton,Goa
4832,The Fern Kadamba,Goa
24860,The Beach House,Goa
34597,Regenta Place Mandrem Beach Resort,Goa
27663,Span Suites and Villas,Goa
2817,Bambolim Beach Resort,Goa
14631,Lazy Bee Cottages,Goa
4669,Riva Beach Resort,Goa
8645,Longuinhos Beach Resort,Goa
2785,Resort Rio,Goa
2895,Planet Hollywood Beach Resort,Goa
4889,Joecons Beach Resort,Goa
2741,The International Centre,Goa
1214,Lemon Tree Premier 2,Gurugram
1910,Radisson Gurugram,Gurugram
1899,Hotel Haut Monde,Gurugram
17939,Bikanervala,Gurugram
3206,Hyatt Place,Gurugram
22963,Kashish Palace,Hyderabad
11346,Pista House Banquet Hall,Hyderabad
14731,Taste Of India,Hyderabad
16312,A Bleu Basil,Hyderabad
16367,A Bleu Basil,Hyderabad
15535,Dream Valley Resorts,Hyderabad
10742,Our Palace Banquets,Hyderabad
10641,Akshara Grand,Hyderabad
35257,KVR Banquets,Hyderabad
10656,Hotel B Plus L,Hyderabad
8072,Indra Imperia Banquet,Hyderabad
3795,Kubeera Palace,Hyderabad
19953,Auspacious Convention Centre,Hyderabad
3676,The Park,Hyderabad
21686,Tree Inn Jubilee,Hyderabad
22889,Shah Hayaat Palace,Hyderabad
23292,GoldHorn Banquet,Hyderabad
4769,The Grand Gardens Resort,Igatpuri
25371,Ashokraj Resort And Farms,Indore
32679,Hotel U Turn & Restaurant,Indore
16339,The Sensation Hotel,Indore
14984,Hotel Om Epic,Indore
15226,Skyline Club And Resorts,Indore
12813,Fun And Food Resort,Indore
13737,Shree Ganga Marriage Garden,Indore
11477,HR Resort and Hotel,Indore
12687,Hotel Baywatch,Indore
27217,Majestic Resort,Jaipur
2786,Hotel Grand Harshal,Jaipur
1753,ITC Rajputana,Jaipur
1438,Four Points By Sheraton,Jaipur
6011,V One Pride,Jaipur
4569,Sterling Atharva Resorts and Hotels,Jaipur
6385,Radisson Blu,Jaipur
2688,Crowne Plaza,Jaipur
7662,Castle Kanota,Jaipur
3343,Hotel Narain Niwas Palace,Jaipur
6280,Sarovar Premiere,Jaipur
3282,Cambay Grand Kukas,Jaipur
22921,Hotel Raj Bagh Palace,Jaipur
1769,Clarion Bella Casa,Jaipur
35911,Hotel Marigold,Jaipur
6143,Yagh Paradise,Jaipur
35987,Blessings Banquets,Jaipur
30157,Swarna Bhoomi,Jaipur
30386,Shree Rooplaxmi Castles Hotel and Garden,Jaipur
1500,Holiday Inn Jaipur City Centre,Jaipur
3401,Hotel Rockwell,Jaipur
15469,County Inn Hotel,Jaipur
13625,My Village Garden,Jaipur
6678,Vatsala Gardens,Jaipur
6363,The Raj Palace,Jaipur
21871,The Victoria Palace,Jaipur
16737,Samurai Palace,Jaipur
5703,Shree Van Banquet And Wedding Garden,Jaipur
2314,Hotel Paradise,Jaipur
2228,Royal Orchid Central,Jaipur
9106,Hotel Neelam Paradise,Jaipur
17835,DNG The Grand Hotel,Kanpur
20529,Royal Prince Banquet,Kanpur
20127,Hotel Royal Paradise,Kanpur
24228,Awadh Villa Resort,Kanpur
17883,Jai Bhagwan Garden,Kanpur
20420,Krishna Vatika,Kanpur
29494,Negi Banquet Hall,Kanpur
17933,Maanik Crystal Banquet Hall,Kanpur
32554,Mannat Banquet,Kanpur
21666,Hotel Amantran,Kanpur
4833,The Fern Residency,Kolkata
6033,Radisson,Kolkata
3649,Smriti Banquets,Kolkata
6472,Raajkutir Swabhumi,Kolkata
5438,Ozora,Kolkata
6722,Aquatica Water Park And Resort,Kolkata
29533,Shantiniketan Garden,Kolkata
5586,Jamuna Banquets,Kolkata
34869,Urbun Fiesta,Kolkata
37400,Shree Banquets,Kolkata
32786,Kamal Banquets,Kolkata
6453,Shree Utsav Banquet,Kolkata
5533,The Circle Club,Kolkata
5547,Vrindaban Banquet,Kolkata
6034,Hotel Royal Garden,Kolkata
7550,Milan Banquets,Kolkata
10082,NPG Hotel,Kolkata
3827,The Park Hotel,Kolkata
5698,Tangerine Royale Banquets,Kolkata
6654,Uphaar Banquets,Kolkata
15252,Emerald Banquet,Kolkata
20607,Swayamwar,Kolkata
20647,Calcutta Rangers Club,Kolkata
3738,Geetanjali Regency,Kolkata
5699,Royal Bengal Room,Kolkata
5584,Pride Plaza Hotel,Kolkata
22325,Zodiac Banquet,Kolkata
21682,Haldirams,Kolkata
17169,AP Palace Marriage Hall,Lucknow
9788,Hotel Silvete,Lucknow
8419,Party Planet AC Banquet Hall,Lucknow
31970,Nilansh Theme Park Resort and Water Park,Lucknow
12158,DVSR Hotel,Lucknow
9004,Mayassar Party Lawn,Lucknow
21654,Chaudhary The Leaf Garden,Lucknow
8428,Hotel The Leaf,Lucknow
37759,S R Hotel,Lucknow
23613,The Wildleaf,Meerut
15354,Grand Dream Resort,Meerut
15177,Grand Amaree,Meerut
14302,Hotel Harmony Inn,Meerut
3573,Centurion Banquet,Mumbai
5268,Grand Lotus Banquet Hall,Mumbai
32480,Diamond Banquet,Mumbai
35013,Royal Regalia Banquets,Mumbai
4263,Occassions Plus,Mumbai
4586,Gokhale Sabhagruha,Mumbai
264,Country Inn & Suites By Radisson,Mumbai
494,Fortune Select Exotica,Mumbai
33415,Jalsa Open Air Banquet,Mumbai
1027,Palm Beach Lawn and Banquet,Mumbai
1068,Exotica - The Tropical Retreat,Mumbai
34340,Sri Balaji Banquet Hall,Mumbai
833,Hotel Yogi Midtown,Mumbai
33479,Takshvi Lawn,Mumbai
35500,M P Bhawan,Mumbai
1824,The Golden Palm Courtyard,Mumbai
